ward,precinct,total_votes,turnout_pct,emanuel_count,emanuel_pct,delvalle_count,delvalle_pct,braun_count,braun_pct,chico_count,chico_pct,watkins_count,watkins_pct,walls_count,walls_pct
2,15,119,73,61.34,7,5.88,22,18.49,12,10.08,5,4.20,0,0.00
2,16,361,241,66.76,32,8.86,6,1.66,79,21.88,2,0.55,1,0.28
2,17,161,95,59.01,4,2.48,20,12.42,20,12.42,20,12.42,2,1.24
2,18,336,219,65.18,17,5.06,14,4.17,86,25.60,0,0.00,0,0.00
2,19,458,298,65.07,24,5.24,7,1.53,122,26.64,4,0.87,3,0.66
2,20,385,251,65.19,20,5.19,68,17.66,35,9.09,10,2.60,1,0.26
2,21,305,204,66.89,20,6.56,54,17.70,16,5.25,9,2.95,2,0.66
2,22,452,311,68.81,35,7.74,29,6.42,74,16.37,3,0.66,0,0.00
2,23,165,87,52.73,9,5.45,34,20.61,26,15.76,7,4.24,2,1.21
2,24,187,101,54.01,6,3.21,17,9.09,58,31.02,3,1.60,2,1.07
2,25,365,228,62.47,22,6.03,37,10.14,72,19.73,4,1.10,2,0.55
2,26,301,191,63.46,27,8.97,28,9.30,46,15.28,7,2.33,2,0.66
2,27,173,116,67.05,4,2.31,22,12.72,14,8.09,11,6.36,6,3.47
2,28,223,118,52.91,23,10.31,16,7.17,64,28.70,1,0.45,1,0.45
2,29,162,115,70.99,4,2.47,18,11.11,21,12.96,4,2.47,0,0.00
2,30,353,221,62.61,35,9.92,8,2.27,89,25.21,0,0.00,0,0.00
2,31,234,139,59.40,19,8.12,45,19.23,26,11.11,1,0.43,4,1.71
2,32,145,75,51.72,14,9.66,12,8.28,41,28.28,2,1.38,1,0.69
2,33,133,92,69.17,2,1.50,23,17.29,9,6.77,7,5.26,0,0.00
2,34,208,124,59.62,1,0.48,50,24.04,22,10.58,7,3.37,4,1.92
2,35,89,70,78.65,6,6.74,1,1.12,12,13.48,0,0.00,0,0.00
2,36,472,331,70.13,27,5.72,28,5.93,80,16.95,5,1.06,1,0.21
2,37,262,192,73.28,20,7.63,10,3.82,39,14.89,1,0.38,0,0.00
2,38,467,311,66.60,28,6.00,17,3.64,106,22.70,5,1.07,0,0.00
2,39,239,146,61.09,29,12.13,13,5.44,44,18.41,5,2.09,2,0.84
2,40,574,372,64.81,38,6.62,53,9.23,101,17.60,3,0.52,7,1.22
2,41,111,59,53.15,2,1.80,32,28.83,8,7.21,9,8.11,1,0.90
2,42,167,105,62.87,2,1.20,43,25.75,12,7.19,3,1.80,2,1.20
2,43,363,247,68.04,20,5.51,17,4.68,74,20.39,4,1.10,1,0.28
2,44,172,92,53.49,5,2.91,47,27.33,16,9.30,7,4.07,5,2.91
2,45,241,130,53.94,13,5.39,44,18.26,35,14.52,15,6.22,4,1.66
2,46,329,185,56.23,15,4.56,75,22.80,34,10.33,10,3.04,10,3.04
2,47,137,74,54.01,3,2.19,35,25.55,16,11.68,8,5.84,1,0.73
2,48,117,79,67.52,3,2.56,17,14.53,9,7.69,8,6.84,1,0.85
2,49,292,212,72.60,29,9.93,12,4.11,37,12.67,2,0.68,0,0.00
2,50,175,82,46.86,19,10.86,9,5.14,56,32.00,8,4.57,1,0.57
2,51,163,117,71.78,5,3.07,22,13.50,9,5.52,7,4.29,3,1.84
2,52,262,172,65.65,16,6.11,33,12.60,22,8.40,14,5.34,5,1.91
2,53,243,179,73.66,27,11.11,8,3.29,28,11.52,1,0.41,0,0.00
2,54,341,237,69.50,40,11.73,4,1.17,57,16.72,2,0.59,1,0.29
2,55,146,103,70.55,18,12.33,4,2.74,20,13.70,1,0.68,0,0.00
2,56,211,121,57.35,10,4.74,40,18.96,26,12.32,13,6.16,1,0.47
3,1,207,120,57.97,6,2.90,46,22.22,22,10.63,8,3.86,5,2.42
3,2,293,190,64.85,9,3.07,57,19.45,29,9.90,5,1.71,3,1.02
3,3,272,176,64.71,14,5.15,27,9.93,46,16.91,7,2.57,2,0.74
3,4,161,90,55.90,8,4.97,42,26.09,18,11.18,0,0.00,3,1.86
3,5,190,95,50.00,11,5.79,61,32.11,12,6.32,8,4.21,3,1.58
3,6,36,25,69.44,1,2.78,3,8.33,7,19.44,0,0.00,0,0.00
3,7,294,174,59.18,6,2.04,83,28.23,19,6.46,4,1.36,8,2.72
3,8,211,135,63.98,4,1.90,42,19.91,26,12.32,1,0.47,3,1.42
3,9,237,141,59.49,15,6.33,45,18.99,21,8.86,13,5.49,2,0.84
3,10,83,57,68.67,4,4.82,14,16.87,5,6.02,3,3.61,0,0.00
3,11,236,128,54.24,14,5.93,55,23.31,24,10.17,11,4.66,4,1.69
3,12,185,111,60.00,5,2.70,45,24.32,16,8.65,7,3.78,1,0.54
3,13,161,23,14.29,15,9.32,4,2.48,119,73.91,0,0.00,0,0.00
3,14,157,59,37.58,2,1.27,83,52.87,6,3.82,6,3.82,1,0.64
3,15,256,133,51.95,11,4.30,83,32.42,14,5.47,12,4.69,3,1.17
3,16,194,110,56.70,15,7.73,48,24.74,13,6.70,8,4.12,0,0.00
3,17,125,67,53.60,2,1.60,43,34.40,10,8.00,1,0.80,2,1.60
3,18,96,49,51.04,5,5.21,24,25.00,12,12.50,6,6.25,0,0.00
3,19,55,15,27.27,7,12.73,1,1.82,32,58.18,0,0.00,0,0.00
3,20,172,100,58.14,6,3.49,37,21.51,18,10.47,8,4.65,3,1.74
3,21,89,55,61.80,1,1.12,18,20.22,12,13.48,2,2.25,1,1.12
3,22,119,77,64.71,3,2.52,33,27.73,4,3.36,2,1.68,0,0.00
3,23,213,131,61.50,8,3.76,48,22.54,16,7.51,7,3.29,3,1.41
3,24,298,173,58.05,12,4.03,58,19.46,45,15.10,6,2.01,4,1.34
3,25,149,101,67.79,3,2.01,16,10.74,21,14.09,4,2.68,4,2.68
3,26,56,34,60.71,1,1.79,17,30.36,2,3.57,2,3.57,0,0.00
3,27,196,120,61.22,9,4.59,41,20.92,16,8.16,7,3.57,3,1.53
3,28,480,325,67.71,44,9.17,15,3.13,96,20.00,0,0.00,0,0.00
3,29,196,135,68.88,5,2.55,36,18.37,10,5.10,7,3.57,3,1.53
3,30,166,87,52.41,15,9.04,32,19.28,21,12.65,5,3.01,6,3.61
3,31,307,185,60.26,7,2.28,61,19.87,31,10.10,13,4.23,10,3.26
3,32,192,117,60.94,17,8.85,31,16.15,20,10.42,3,1.56,4,2.08
3,33,265,131,49.43,12,4.53,63,23.77,37,13.96,15,5.66,7,2.64
3,34,195,105,53.85,8,4.10,47,24.10,24,12.31,7,3.59,4,2.05
3,35,225,127,56.44,16,7.11,48,21.33,16,7.11,15,6.67,3,1.33
3,36,65,34,52.31,2,3.08,23,35.38,3,4.62,3,4.62,0,0.00
3,37,98,57,58.16,3,3.06,20,20.41,10,10.20,7,7.14,1,1.02
3,38,344,209,60.76,8,2.33,97,28.20,20,5.81,7,2.03,3,0.87
3,39,321,219,68.22,8,2.49,68,21.18,11,3.43,10,3.12,5,1.56
3,40,229,121,52.84,14,6.11,47,20.52,23,10.04,11,4.80,13,5.68
3,41,191,101,52.88,7,3.66,62,32.46,14,7.33,3,1.57,4,2.09
3,42,169,108,63.91,6,3.55,33,19.53,13,7.69,5,2.96,4,2.37
3,43,37,22,59.46,1,2.70,12,32.43,0,0.00,1,2.70,1,2.70
3,44,54,40,74.07,0,0.00,8,14.81,4,7.41,1,1.85,1,1.85
3,45,331,217,65.56,24,7.25,39,11.78,45,13.60,3,0.91,3,0.91
3,46,49,20,40.82,0,0.00,17,34.69,8,16.33,4,8.16,0,0.00
3,47,128,67,52.34,5,3.91,30,23.44,17,13.28,3,2.34,6,4.69
3,48,171,111,64.91,5,2.92,40,23.39,7,4.09,4,2.34,4,2.34
3,49,59,36,61.02,7,11.86,11,18.64,4,6.78,1,1.69,0,0.00
3,50,137,76,55.47,2,1.46,33,24.09,17,12.41,5,3.65,4,2.92
4,1,379,187,49.34,78,20.58,51,13.46,52,13.72,6,1.58,5,1.32
4,2,335,207,61.79,16,4.78,63,18.81,34,10.15,7,2.09,8,2.39
4,3,299,163,54.52,19,6.35,70,23.41,31,10.37,10,3.34,6,2.01
4,4,294,189,64.29,8,2.72,55,18.71,23,7.82,8,2.72,11,3.74
4,5,383,215,56.14,25,6.53,97,25.33,27,7.05,9,2.35,10,2.61
4,6,111,54,48.65,4,3.60,37,33.33,11,9.91,1,0.90,4,3.60
4,7,332,197,59.34,17,5.12,68,20.48,33,9.94,6,1.81,11,3.31
4,8,323,210,65.02,12,3.72,58,17.96,29,8.98,12,3.72,2,0.62
4,9,508,338,66.54,22,4.33,88,17.32,34,6.69,14,2.76,12,2.36
4,10,277,165,59.57,15,5.42,57,20.58,27,9.75,6,2.17,7,2.53
4,11,203,131,64.53,7,3.45,41,20.20,15,7.39,6,2.96,3,1.48
4,12,166,86,51.81,8,4.82,37,22.29,21,12.65,4,2.41,10,6.02
4,13,220,130,59.09,35,15.91,30,13.64,20,9.09,2,0.91,3,1.36
